skill_id,unique_skill_title,unique_skill_description,skill_type,is_emerging_skill,is_casl_skill
skill_457f514249dc,"Action Choreography, Coordination, Design & Direction","Choreograph, coordinate, and direct action scenes involving high-risk physical performances, while managing talent recruitment, actor training, rehearsals, previsualizations, and overseeing project logistics including negotiations, payments, contracts, and insurance",tsc,False,False
skill_11fe31825a86,Active and Smart Packaging,"Application of active/smart packaging methodology and processes to improve shelf-life, quality and safety of food product",tsc,True,False
skill_693e9a4ae0df,Adapt to Change,"Identify global trends and changes impacting the workplace, as well as undertake lifelong learning to adapt to changes for sustained employability in the new knowledge economy",tsc,False,False
skill_9af0a8d8d402,Adaptability,Exercise flexibility in behaviours or approaches to respond to changes and evolving contexts,ccs,False,False
skill_b9e88c908595,Additive Manufacturing,Design and apply additive manufacturing workflows to create three-dimensional objects,tsc,True,False
skill_347eebd4e057,Additive Manufacturing Processes and Systems,Identify constraints in the fabrication of complex-shaped components and propose solutions for overcoming these constraints through innovating additive manufacturing processes and defining appropriate business cases for implementing these new processes.,tsc,False,False
skill_e42add0aa885,"Additive Manufacturing Standards, Qualifications, and Certifications","Comply with industry standards and regulations in the course of additive manufacturing process design, obtain relevant certifications for additive manufacturing processes and materials and staying up-to-date with evolving quality assurance protocols to ensure product reliability and safety.",tsc,False,False
skill_ae6c5f9b3b4f,Additive Manufacturing of Metallic Components,"Fabricate metal parts by understanding metallic material properties, operating additive manufacturing machines, optimising designs, ensuring quality, and employing post-processing methods specific to the additive manufacturing of metal components, contributing to the production of parts for various applications.",tsc,False,False
skill_20eddb5943da,Additive Manufacturing of Polymer-Based Components,"Design and print polymer-based components by understanding polymer material properties, operating additive manufacturing machines, optimising designs, ensuring quality and employing post-processing methods specific to the additive manufacturing of polymer-based components, contributing to the production of parts for various applications.",tsc,False,False
skill_2bad164b866d,Advanced Material Treatment Processes,"Apply a set of techniques and processes to modify materials and enhance their performance, durability, and functionality, making them suitable for specific industrial and research purposes.",tsc,False,False
skill_8f5c0413514f,Advanced Processing Technology,"Design and apply advanced processing technology to manufacture food products that are appealing, tasty, nutritious and have a long shelf life",tsc,True,False
skill_1691f5ddc23b,Advocacy and Representation,Advance the interests of the marginalised and/or vulnerable within the community regardless of mode of delivery,tsc,False,False
skill_a12d28d4b385,Aerial Camera Operations,"Manage the set-up and operations of types of aerial cameras, lenses and accessories for the production of content",tsc,False,False
skill_0400c2a4f488,Aerodynamics Principles Application,Apply and use principles of aerodynamics to optimise and solve problems related to aircraft performance and flight safety,tsc,False,False
skill_fcdfb47a2420,Aerospace Engineering Drawing Interpretation and Management,"Use engineering drawings and documentation describing layout, location, interconnection, design and operational parameters, and operating and safety design limits to support engineering activities",tsc,False,False
skill_c006ece15147,Aerospace Heat Treatment Process,"Perform heat treatment processes on aircraft parts and components using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures",tsc,False,False
skill_c554186d5062,Aerospace Maintenance Practices Application,"Perform aircraft maintenance practices in accordance with applicable technical manuals and organisational procedures. This includes application of safety practices on aircraft, hangar and workshop facilities, use of appropriate tools, equipment and methods and interpretation of engineering drawings",tsc,False,False
skill_88b2735dccef,Aerospace Materials and Hardware Selection,"Select appropriate aerospace materials and hardware for maintenance, repair, overhaul or manufacturing of aircrafts in accordance with applicable original equipment manufacturer (OEM) manuals and organisational procedures",tsc,False,False
skill_2da51c3cc1e3,Aesthetic and Design Sensibility,"Imagine and develop novel, relevant and appropriate aesthetics to engage and evoke accurate and appropriate emotional and sensorial responses from target audiences",tsc,False,False
skill_13390013447b,Affiliate Marketing,"Select and manage affiliates to strengthen customer engagement, enhance lead conversion, broaden the reach of marketing efforts and optimise marketing return-on-investment",tsc,True,False
skill_e9d094c7780f,After-sales Service,"Implement, monitor after-sales activities and review policies for after-sales procedures to ensure customer satisfaction",tsc,False,False
skill_81389ae489d4,Agile Coaching,"Formulate and implement Agile coaching frameworks, processes and standards to foster Agile mindset and practices within the organisation and develop Agile teams",tsc,False,True
skill_f6f3cafbf649,Agile Software Development,"Plan and implement Agile methodology and the use of adaptive and iterative methods and techniques in the software development lifecycle to account for continuous evolution, development, and deployment to enable seamless delivery of the application to the end user",tsc,False,True
skill_5e0552a5349b,Agriculture Techniques and Cultivation Programme Management,"Apply agriculture principles and techniques to cultivate and grow produce, incorporating agritechnologies and processes to optimise yield in accordance with business objectives",tsc,False,False
skill_a3656de20239,Air Cargo Operations Management,Manage and implement processes and activities to build and develop air cargo operations,tsc,False,False
skill_18f7f8ad5029,Air Conditioning and Mechanical Ventilation System Design,Design cost-effective and efficient air conditioning and mechanical ventilation systems,tsc,False,False
skill_07799d28a780,Air Conditioning and Mechanical Ventilation Systems Maintenance,Implement preventive and corrective maintenance of air-conditioning and mechanical ventilation systems,tsc,False,False
skill_3ad0c95701d5,Air-freight Import and Export Documentation,Manage and execute documentation processes to facilitate the import and export of air cargo shipments,tsc,False,False
skill_be64d40f1842,Air-freight Tracking System Adminsitration,Administer and enhance cargo tracking systems to monitor cargo movements during flights and transhipments,tsc,False,False
skill_4b80563674b9,Aircraft Batteries Maintenance,Service and maintain aircraft batteries using appropriate resources and conduct functional checks,tsc,False,False
skill_8c5e4ccab672,Aircraft Cabin Equipment and Furnishing Maintenance,"Maintain and repair aircraft cabin equipment and furnishing using appropriate resources and conduct functional checks after maintenance work. This includes maintenance of aircraft upholstery, cabin components and cabin furnishing installations",tsc,False,False
skill_d8c4970bf5d4,Aircraft Communication Components Maintenance,Maintain and repair aircraft communication components using appropriate resources and conduct functional checks,tsc,False,False
skill_967f5e065d17,Aircraft Communication Systems Maintenance,"Maintain aircraft communication systems using appropriate resources and conduct functional tests after maintenance work. This includes maintenance of radio and audio communication systems, radio emergency and reporting systems, and in-flight entertainment systems",tsc,False,False
skill_a832326e8eea,Aircraft Cruise Operations,"Monitor aircraft systems, performance and external environments as well as comply with Air Traffic Control (ATC) instructions and en route navigation requirements to ensure safe and optimal flight conditions",tsc,False,False
skill_e5c9d9a68af2,Aircraft Dispatch,Review flight dispatch documents to identify dispatch issues and determine mission continuance,tsc,False,False
skill_512ac655ad4d,Aircraft Electrical Equipment and Accessories Maintenance,"Maintain and repair aircraft electrical equipment and accessories using appropriate resources and conduct functional checks. This includes maintenance of alternating current (AC) and direct current (DC) machines, power contactors, circuit breakers, relays and lighting accessories",tsc,False,False
skill_46b996eca9b6,Aircraft Electrical Systems Maintenance,Maintain aircraft electrical systems using appropriate resources and conduct functional tests after maintenance work. This includes checking of electrical installations and maintenance of electrical power and lighting systems,tsc,False,False
skill_79decb24ef01,Aircraft Emergency Management,Command and control aircraft during emergency situations in accordance with Safety and Emergency Procedures (SEP),tsc,False,False
skill_b9077cc8e336,Aircraft Fuel and Engine Systems Maintenance,"Maintain aircraft fuel and engine systems using appropriate resources and conduct functional tests after maintenance work. This includes maintenance of engine fire protection systems, aircraft fuel systems, engine controls and indication systems, and auxiliary power units",tsc,False,False
skill_7beed8905e41,Aircraft Hydraulic Components Maintenance,Maintain and repair aircraft hydraulic system components in dedicated workshops using appropriate resources and conduct functional checks,tsc,False,False
skill_eb0f3cee014c,Aircraft Instrument Systems Maintenance,"Maintain aircraft instrument systems using appropriate resources and conduct functional tests after maintenance work. This includes maintenance of air data systems and instruments, gyroscopic instruments and compass systems, indication and warning systems, and flight data recording systems",tsc,False,False
skill_5f9b0b0702fe,Aircraft Instruments Maintenance,"Maintain and repair aircraft instruments using appropriate resources and conduct functional checks. This includes maintenance of pitot-static, magnetic compass, gyroscopic, flight indicating system and engine indicating instruments",tsc,False,False
skill_473fccd3f681,Aircraft Landing Gears Maintenance,Maintain and repair aircraft landing gear systems in dedicated workshops using appropriate resources and conduct functional checks,tsc,False,False
skill_1a9bde7a7f03,Aircraft Landing Operations,"Initiate aircraft descent, approach and landing in accordance with procedures and Air Traffic Control (ATC) instructions to ensure safe landing within the runway environment",tsc,False,False
skill_f0c66ae6689b,Aircraft Load Planning,Plan aircraft loads with due consideration for regulatory requirements and safety standards,tsc,False,False
skill_4a95724267c8,Aircraft Manual Handling,Operate aircraft to ensure smooth and safe handling during all phases of flights,tsc,False,False
skill_4eee66a8d144,Aircraft Movement Management,Direct aircraft on the ramps by using appropriate manual and systems cues,tsc,False,False
skill_7f1233117e4b,Aircraft Navigation and Automated Flight Systems Maintenance,"Maintain aircraft navigation and automated flight systems using appropriate resources and conduct functional tests after maintenance work. This includes maintenance of radar navigation, radio and inertial navigation, and automated flight control systems",tsc,False,False
skill_df933822511e,Aircraft Navigation and Radar Equipment Maintenance,Maintain and repair aircraft navigation systems and radar equipment using appropriate resources and conduct functional checks,tsc,False,False
skill_05a7af3a1c71,Aircraft Performance Management,Conduct post-flight analysis to develop optimal flight performance parameters,tsc,False,False
skill_02e6e534b361,Aircraft Pneumatic Components Maintenance,Maintain and repair aircraft pneumatic system components in dedicated workshops using appropriate resources and conduct functional checks,tsc,False,False
skill_87f878fbf4e9,Aircraft Sensing Components Maintenance,"Maintain and repair aircraft sensing components using appropriate resources and conduct functional checks. This includes maintenance of servo actuators, pressure transmitters, synchro, fuel indication system, engine indicating system, oxygen system and cabin pressurisation components",tsc,False,False
skill_ef68fbb7810b,Aircraft Take-Off Operations,Perform take-off roll in accordance with Standard Operating Procedures (SOPs) to ensure take-off operations,tsc,False,False
skill_6a1e5b5b3e94,Aircraft Turnaround Coordination,Conduct activities to prepare and turn around inbound aircraft for outbound flights,tsc,False,False
skill_04d8a332f9ef,Aircraft Weight and Balance Calculation,Maintain accurate aircraft weight and balance calculations to ensure safe and efficient aircraft operations,tsc,False,False
skill_2551f1836d1c,Aircraft Wheels and Brakes Maintenance,Maintain and repair aircraft wheels and brakes in dedicated workshops using appropriate resources and conduct functional checks,tsc,False,False
skill_62b8d54d9cd9,Airfield Civil Infrastructure Maintenance and Design,Maintain and enhance airfield civil infrastructure to meet operational requirements of the airports,tsc,False,False
skill_292bee0e3ea1,Airfield Specialised Systems Maintenance and Design,Maintain and enhance airfield specialised systems to meet operational requirements of the airports,tsc,False,False
skill_f2849afb4b66,Airframe Systems Maintenance,"Maintain airframe systems using appropriate resources and conduct functional tests after maintenance work. This includes maintenance of aircraft hydraulic systems, aircraft flight control systems, aircraft landing gear systems, aircraft door systems, aircraft pneumatic systems and aircraft environmental control and pressurisation systems",tsc,False,False
skill_aee4852f1fa4,Airline Crew Scheduling,Manage crew requirements through efficient crew scheduling,tsc,False,False
skill_e56ba8ceb53c,Airline Distribution Channel Strategies,Develop and implement distribution channel strategies to increase market reach of airlines,tsc,False,False
skill_9cafc87a4c98,Airline Marketing,"Plan, develop and implement marketing concepts and campaigns for airlines to drive sales and build brand equity",tsc,False,False
skill_ee2aa75971f6,Airline Operations Management,Execute and manage operational activities to contribute to the commercial success of airlines,tsc,False,False
skill_5ab2cbe6af78,Airline Representation and Station Management,Enforce ground service standards of airlines through monitoring ground service activities and building partnerships with ground handling agents,tsc,False,False
skill_ee7903604f14,Airline Revenue Management,Develop and implement pricing strategies and revenue management models to maximise airlines revenues,tsc,False,False
skill_06c9101c93b1,Airport Audit and Compliance,Audit airport operations to ensure alignment with world-class airport standards,tsc,False,False
skill_9d12e46da9ff,Airport Collaborative Decision Making Model Application,"Utilise the Airport Collaborative Decision Making (A-CDM) model to enhance airport operations and optimise the capacity of runways, terminals, gates and airspace",tsc,False,False
skill_ee0a7d39b65d,Airport Infrastructure and Facilities Maintenance and Design,Maintain and enhance airport infrastructure and facilities to meet operational and service standards of the airports,tsc,False,False
skill_6bc49a33c131,Airport Operations Management,"Manage interconnected airport functions including aircraft operations, airside activities and landside maintenance",tsc,False,False
skill_1bfea01a6141,Airport Safeguarding and Security,Develop and execute airport safety and security policies to promote a safe working environment and passenger experience,tsc,False,False
skill_506c8164479c,Airport Service Quality Management,Implement and drive improvements in service quality standards at the airports,tsc,False,False
skill_c7ee24f1f3bb,Airport and Airline Economics,Analyse factors affecting the performance of airports and/or airlines operations and recommend actions for improvements,tsc,False,False
skill_e6b807adaeb7,Airside Driving,Operate vehicles at the airside and verify functionality of vehicles,tsc,False,False
skill_7d3a2ac9f8f6,Airside Operations Management,Plan and coordinate airside operational activities to ensure compliance with airside safety standards,tsc,False,False
skill_3726a7eea431,Airside Safety,Develop and execute airside safety policies to promote a safer working environment at the airside,tsc,False,False
skill_ce2e3ec74883,Airway Assessment and Management,Perform assessment and management of the airway,tsc,False,False
skill_091fc11c3624,Alarm System Management,Detect alarm activations and respond appropriately,tsc,False,False
skill_e15b625a44a7,Alcoholic Beverage Preparation,Prepare and serve a range of alcoholic beverages using various beverage preparation techniques,tsc,False,False
skill_2dd2cedbf258,Ambulance Readiness and Maintenance,Maintain and manage inventory control and equipment for ambulance and storage area,tsc,False,True
skill_108a4e6052ec,Ambulatory Care Service Support,Provide support to team in the provision of ambulatory care services in pharmacist-led services,tsc,False,False
skill_2538f25f21bc,Ammonia Handling and Safety,"Develop, operationalise, and evaluate safe and efficient procedures for handling, transferring, and storing ammonia, and responding to ammonia-related incidents. This includes ensuring compliance with relevant standards and regulations",tsc,False,False
skill_d66c026c9048,Ammonia Regulations and Standards,"Comply with, enhance, and enforce ammonia-related health, safety, and environmental regulations and standards for an organisation’s maritime operations, including ammonia bunkering. This ensures safe and efficient handling, storing, and transporting of ammonia, as well as responses in emergency ammonia-related incidents",tsc,False,False
skill_bad72319892a,Analogue Integrated Circuit Design,"Design, test and implement electronic circuits that process and manipulate continuous or discrete signal values. Translate the desired functionality into physical circuits, focusing on optimised performance, power consumption and reliability.",tsc,False,False
skill_b46bb3dd2800,Analysis of Research Data,"Analyse research data, interpret results generated and link them to the research question or related findings in scientific literature",tsc,False,False
skill_b101261c4879,Analytical Method Validation,"Verify analytical methods to ensure accuracy, validity, and reliability",tsc,False,True
skill_4e40ad005d72,Analytics and Computational Modelling,"Develop, select and apply algorithms and advanced computational methods to enable systems or software agents to learn, improve, adapt and produce desired outcomes or tasks which also involves the interpretation of data, including the application of data modelling techniques to explore and address a specific issue or requirement",tsc,True,False
skill_af447f31713e,Animal Conditioning and Enrichment,Manage animal conditioning and enrichment programmes,tsc,False,False
skill_10c1446c6d92,Animal Habitat Management,"Manage policies and practices regarding the care and maintenance of animal habitats, including the design of animal habitats",tsc,False,False
skill_fe6f47993b5e,Animal Husbandry and Nutrition,"Manage policies and practices regarding the care and keeping of animals, including feeding, cleaning and monitoring of animal behaviours",tsc,False,False
skill_851207562412,Animal Transaction,Manage practices to restrain and convey animals during animal transportation,tsc,False,False
skill_6c208d042d76,Applications Development,"Develop applications based on design specifications by applying technical skills to code, test, debug, document, and refine components, including advanced applications, augmented reality with predictive analytics and geo-spatial capabilities",tsc,True,False
skill_751a746a85af,Applications Integration,"Integrate data or functions from one application program with that of another application program - involves development of an integration plan, programming and the identification and utilisation of appropriate middleware to optimise the connectivity and performance of disparate applications across target environments",tsc,False,False
skill_db2d6ad15119,Applications Support and Enhancement,"Provide ongoing technical support and improvements to application users by offering technical guidance and assistance for installation and maintenance, resolving application problems, and responding to change requests to enhance operations and usage",tsc,False,False
skill_c0b6cfb377fc,Applied Research and Development Management,Manage research and development projects to innovate and develop new products and operational processes,tsc,False,False
skill_d049add02929,Apply 5S Techniques in the Workplace,Apply 5S techniques in the workplace in accordance with organisational procedures,tsc,False,False
skill_98adb49025e0,Apply Containment Principles in Laboratory Design,"Apply containment principles in laboratory facility designs and construction in accordance with applicable standards, guidelines and legislations for biosafety and biosecurity",tsc,False,False
skill_f5684cb688f7,Apply Good Biosafety Practices when Working with Animals,"Applying biosafety practices when working with animals in accordance with national and international biosafety standards, guidelines and legislations",tsc,False,False
skill_4a42cc1f6559,Apply Teamwork in the Workplace,"Apply teamwork in the workplace, work as a team and participate in team activities in accordance with organisational procedures",tsc,False,False
skill_e7a6d76a9fbb,Apply Workplace Safety and Health Practices,Apply workplace safety and health practices to ensure the safety for self and others at work,tsc,False,False
skill_801067199455,Apply Workplace Safety and Health in Construction Sites,"Apply workplace safety and health legal requirements and practices to ensure personnel safety at work in the construction industry, identify responsibilities in construction jobs, follow safe work procedures, adopt relevant risk controls and work at height measures and respond to fire emergencies",tsc,False,False
skill_0df6ca994f49,Apply Workplace Safety and Health in Logistics and Transportation,"Apply workplace safety and health approaches related to logistic and transport, recognise safety hazards, adopt preventive measures and observe safety signs and safe work procesures",tsc,False,False
skill_f2b3b336d562,Apply Workplace Safety and Health in Metal Work,"Apply workplace safety and health legal requirements and practices for metal works to ensure personnel safety, identify roles and responsibilities in a metal work jobs, follow safe work procedures, adopt relevant risk control measures and respond to fire emergencies",tsc,False,False
skill_24f4019c74d0,Apply Workplace Safety and Health in Process Plant,Apply workplace safety and health practices to ensure personnel safety at work in the oil and petrochemical industry in accordance with Workplace Safety and Health Act,tsc,False,False
skill_d1f488718159,Apply Workplace Safety and Health in Shipyard (General Trade),Apply shipyard workplace safety and health approaches for workers in general trade work in shipbuilding and ship-repair environment,tsc,False,False
skill_5974b5f3b199,Aquaculture Techniques and Breeding Programme Management,"Apply aquaculture principles and techniques to rear aquatic food animals, incorporating aquatechnologies and processes to optimise yield in accordance with business objectives",tsc,False,False
skill_e5ed3fdb9179,Architecture Design,"Utilise holistic design approaches for the conceptualisation, development and enhancement of design solutions",tsc,False,False
skill_5453962e8960,Arrestation,Apply appropriate apprehension techniques on suspects during the committing of unlawful acts,tsc,False,True
skill_fe23429b2292,Art Department Graphic Design,Conceptualise and create graphic elements to be applied onto props and signage,tsc,False,False
skill_a7e37509a481,Art Form Experience and Knowledge,"Demonstrate artistic talent, creativity, and knowledge of concepts, processes, styles, and forms of expression in chosen art form",tsc,False,False
skill_2ba59bf65ac0,Art Form History and Culture,"Understand and teach the history and cultural context of the chosen art form, including prominent artists, the historical evolution of the art form, and the background of the art form in Singapore",tsc,False,False
skill_9e592de3e12a,Art Form Pedagogy,Understand and apply the instructional techniques best suited to teach the chosen art form to create positive learning outcomes,tsc,False,False
skill_cea0ac38cd4b,Art Form Showcase,Understand the key products and outcomes of creative expression in chosen art form to be embedded into class practice and assessments and drive experience-based learning,tsc,False,False
skill_15e77c7a6f16,Artificial Intelligence Application,"Apply algorithmic, statistical and contexture domain knowledge to integrate artificial intelligence into business and operation processes, products and services",tsc,True,False
skill_52e13c7a615f,Artificial Intelligence Ethics and Governance,"Establish and drive Artificial Intelligence Ethics and Governance frameworks to ensure compliance, manage risks and commercial benefits in product design",tsc,False,True
skill_f56a8503fbcb,Arts Curriculum Design,"Design and develop overall curriculum framework, including learning outcomes, art form specific pedagogy, course content and materials, structure of learning units and activities, assessment criteria, and showcase opportunities",tsc,False,True
skill_790d551e9226,Arts Education Research,"Investigate a research focus and hypothesis leading to the generation of insights on current developments, trends and innovative methods of learning delivery and programme design",tsc,False,False
skill_1193cc510963,Asbestos Removal,Formulate an asbestos removal plan for the removal of asbestos from the workplace to minimise exposure and protect the health of all involved,tsc,False,False
skill_4f705578a1cf,Asbestos Risk Management,Formulate a management plan and implement control measures for the management of asbestos,tsc,False,False
skill_6e6feaebd6af,Asian Cold Dish and Dessert Preparation,Prepare and present various Asian cold dishes and desserts in accordance with organisational procedures and recipes before serving to customers,tsc,False,False
skill_1a0eb959acb7,Asian Cuisine Preparation and Cooking,Prepare and present standard and complex Asian cuisine dishes,tsc,False,False
skill_40c1a33e4a86,Assess Shipyard Safety for Hot-Work Certification,Perform safety assessment for hot work certification in shipbuilding and ship-repair environment in accordance with prevailing workplace safety and health regulations and organisational procedures,tsc,False,False
skill_a59a8da60beb,Assessment Design and Implementation,Design and implement assessment methods and tools to evaluate learner progress,tsc,False,False
skill_ae27c2e78bdd,Asset Integrity Management,"Manage asset integrity of process plants and equipment to ensure optimal availability, reliability and integrity of equipment and systems",tsc,False,False
skill_5ec47dd14a33,Asset Management,Formulate and implement asset management policies to optimise asset life-cycles and performance,tsc,False,False
skill_c9a36c538b81,Asset Management and Monitoring of Distributed Generation Systems,"Monitor, control and optimise the performance of distributed generation systems to ensure reliable data collection and monitoring, system scalability and integration of advanced cybersecurity protocols, while driving innovation through artificial intelligence and machine learning for real-time data analysis, predictive maintenance and energy management, adapting to emerging technologies and industry best practices",tsc,False,False
skill_844352c597c0,Asset and Inventory Management,Manage asset and inventory controls to improve resource optimisation and costs reduction for effective business operations,tsc,False,True
skill_cacf58b6ce04,Asset and Liability Management,"Address risks faced by financial institutions or banks due to mismatch between assets and liabilities by performing capital, liquidity, interest rate and balance sheet management",tsc,False,False
skill_e0d5ce039617,Assistive Devices Prescription in Occupational Therapy,"Prescribe the appropriate therapeutic aids, devices, and equipment as required by clients",tsc,False,False
skill_0affebdb59df,Attractions Content and Experience Development and Delivery,Manage the content development and experience concepts within the attractions site to enhance visitor engagement and experience,tsc,False,True
skill_8c9e3d34ce93,Attractions Guest Relations Management,"Manage guest relations strategies and policies to enhance on-site guest experience, including the management of special guest requests, requirements and needs",tsc,False,True
skill_69881b928fbb,"Attractions Membership, Admission and Ticketing Management","Manage membership, admission and ticketing operations within the attractions sites, including the implementation of these policies at the frontline guest-servicing counters",tsc,False,True
skill_d4c432af942d,Attractions Programme Development,Manage programmes catered for attractions visitor groups,tsc,False,True
skill_2ff737cfff27,Attractions Ride and Equipment Maintenance,Manage operation and maintenance of attraction rides and equipment,tsc,False,False
skill_d14f4ae73e04,Attractions Transportation Operations,"Manage transportation services for visitors within the attractions sites, including trams, buses and other modes of transportation",tsc,False,False
skill_942f2e2464d0,Attribution Analysis,"Analyse portfolio and fund manager performance, identify specific portfolio performance factors, and apply attribution analysis methods",tsc,False,False
skill_40ea24a31c9e,Audience Analytics,"Perform systematic collection, analysis, and interpretation of data related to audience behaviour and engagement across various digital platforms",tsc,False,False
skill_f51cbfb2d1eb,Audience Segmentation,"Divide a broad audience into more defined groups based on shared characteristics, behaviours or demographics",tsc,False,False
skill_cb7637b96538,Audio Programming,Develop programs to implement interactive sound and sound effects within electronic games,tsc,False,True
skill_895a8400b3af,Audit Compliance,Ensure compliance with corporate policies and guidelines,tsc,False,True
skill_0c27654a03dd,Audit Frameworks,Develop quality assurance frameworks to meet regulatory requirements,tsc,False,True
skill_bf1432eacec8,Audit Management,"Review and assess organisational objectives, policies, procedures, structure, controls, and systems to verify efficient management of activities and ensure service quality adheres to standards while developing initiatives to enhance quality",tsc,False,False
skill_e2283408df3f,Audit and Compliance,Develop compliance processes and audit strategy for the organisation to review adherence to statutory regulatory and standards. Assessment and enhancement of the thoroughness of compliance and/or governance processes and organisation's internal controls to align with changing compliance standards. This also includes the actual conduct and/or performance of audit activities,tsc,False,False
skill_8bb2c52c97dc,Audit and Review Management,"Manage audit and review processes and procedures, including planning, execution, and reporting, to ensure compliance with legal and quality management system requirements",tsc,False,False
skill_6b4356d7c6cb,Auditing and Assurance Standards,Use applicable auditing and assurance standards to carry out auditing and assurance activities,tsc,False,True
skill_8656b2b4d114,Auditor Independence,"Possess the state of mind and appearance whereby integrity, objectivity or professional scepticism are not compromised",tsc,False,True
skill_c6c601f035bd,Augmented Reality Application,Facilitate the design and implementation of augmented reality applications to increase efficiency of work processes,tsc,True,False
skill_120d7e20749d,Automated Distribution Management,"Maintain, oversee and review automated processes and systems within a department",tsc,True,False
skill_e28407321e43,Automated Equipment and Control Systems Configuration,"Configure automated equipment and control systems to support business, operational and/or maunfacturing processes",tsc,False,False
skill_88ea26fbf9ac,Automated Food Manufacturing System Maintenance,Maintain automation systems to meet operation requirements as well as propose strategies for improvement of automation systems' performance,tsc,True,False
skill_654f67e7f78d,Automated Operation Monitoring,"Maintain and monitor automated systems and equipment to ensure smooth operations and quality execution of business, operations and/or manufacturing process flows",tsc,True,False
skill_aa235580a1e6,Automated Process Design,Design processes that utilise automated equipment and control systems,tsc,True,False
skill_3e04447f2df3,Automated System Design,Design and commission automated systems while evaluating system design specifications against functional requirements,tsc,True,False
skill_15b2b8a849ff,Automatic Fare Collection Auxiliary Systems Maintenance,Implement preventive and corrective maintenance activities of Automatic Fare Collection (AFC) auxiliary systems,tsc,False,False
skill_721f9e03b55d,Automatic Fare Collection Gate Maintenance,Implement preventive and corrective maintenance activities of Automatic Fare Collection gates,tsc,False,False
skill_4e3354328a3f,Automatic Fare Collection Sales Device Maintenance,Implement preventive and corrective maintenance activities of Automatic Fare Collection (AFC) sales devices,tsc,False,False
skill_b0db3d69b372,Automation Design,"Manage control systems and information technology to reduce the need for human work in the production of goods and services in order to streamline operations in terms of speed, reliability and product output",tsc,False,False
skill_b71e8867d3ee,Automation Management in Product Development,Oversee automation systems to ensure operation requirements for product development are met as well as propose strategies for automation systems performance improvement,tsc,False,True
skill_fa5605c99e5f,Automation Process Control,"Apply automated process control to monitor operations performance metrics and/or manufacturing output quality, determine optimal settings and productivity improvement strategies, reduce process variations, and detect process deviations",tsc,True,False
skill_d285508b8416,Automation Research and Implementation,Manage equipment and information technologies and integrate into organisation operations or processes to achieve organisation desired outcomes,tsc,True,False
skill_17d1984bbb16,Automation System Maintenance,Maintain automation systems to meet operational requirements and propose strategies to improve their performance,tsc,True,False
skill_d44f9b0eb12d,Automation of Landscape Operations,"Adopt and incorporate automation technology within landscape operations to improve productivity, efficiency and effectiveness",tsc,True,False
skill_fb62b3da4fcd,Autonomous Logistics Design and Application,"Identify suitable models in the design and implementation of autonomous machines in existing operations, as well as formulate and present validating strategies for management's approval and review and refine them on a continuous basis",tsc,True,False
skill_aedc11a1c691,Autonomous Systems Technology Application,"Integrate autonomous systems and technologies in operational workflows, including processes, maintenance, logistics and plant surveillance, to enhance productivity and precision, and reduce reliance on manual tasks",tsc,True,False
